;Rooms;Price;Distance;Bathroom;Car;Landsize;Lattitude;Longtitude;Propertycount
0;2;1480000.0;2.5;1.0;1.0;202.0;-37.7996;144.9984;4019.0
1;2;1035000.0;2.5;1.0;0.0;156.0;-37.8079;144.9934;4019.0
2;3;1465000.0;2.5;2.0;0.0;134.0;-37.8093;144.9944;4019.0
3;3;850000.0;2.5;2.0;1.0;94.0;-37.7969;144.9969;4019.0
4;4;1600000.0;2.5;1.0;2.0;120.0;-37.8072;144.9941;4019.0
5;2;941000.0;2.5;1.0;0.0;181.0;-37.8041;144.9953;4019.0
6;3;1876000.0;2.5;2.0;0.0;245.0;-37.8024;144.9993;4019.0
7;2;1636000.0;2.5;1.0;2.0;256.0;-37.806;144.9954;4019.0
8;1;300000.0;2.5;1.0;1.0;0.0;-37.8008;144.9973;4019.0
9;2;1097000.0;2.5;1.0;2.0;220.0;-37.801;144.9989;4019.0
10;2;700000.0;2.5;2.0;1.0;0.0;-37.811;145.0067;4019.0
11;3;1350000.0;2.5;2.0;2.0;214.0;-37.8085;144.9964;4019.0
12;2;750000.0;2.5;2.0;1.0;0.0;-37.8078;144.9965;4019.0
13;2;1172500.0;2.5;1.0;1.0;195.0;-37.8084;144.9973;4019.0
14;1;441000.0;2.5;1.0;1.0;0.0;-37.8016;144.9988;4019.0
15;2;1310000.0;2.5;1.0;2.0;238.0;-37.809;144.9976;4019.0
16;3;1200000.0;2.5;2.0;1.0;113.0;-37.8056;144.993;4019.0
17;3;1176500.0;2.5;1.0;1.0;138.0;-37.8021;144.9965;4019.0
18;3;955000.0;2.5;1.0;0.0;183.0;-37.8022;144.9975;4019.0
19;2;890000.0;2.5;1.0;1.0;150.0;-37.8011;145.0004;4019.0
20;4;1330000.0;2.5;2.0;2.0;780.0;-37.8073;144.9952;4019.0
21;3;900000.0;2.5;2.0;2.0;0.0;-37.8093;144.9959;4019.0
22;3;1090000.0;2.5;2.0;2.0;4290.0;-37.8078;144.9965;4019.0
23;2;500000.0;2.5;1.0;1.0;0.0;-37.8015;144.9972;4019.0
24;2;1100000.0;2.5;2.0;1.0;124.0;-37.8079;144.9977;4019.0
25;2;1315000.0;2.5;1.0;0.0;147.0;-37.808;144.994;4019.0
26;1;426000.0;2.5;1.0;1.0;0.0;-37.8016;144.9988;4019.0
27;3;1447500.0;2.5;3.0;1.0;166.0;-37.8017;145.0001;4019.0
28;1;457000.0;2.5;1.0;1.0;0.0;-37.8078;144.9965;4019.0
29;2;1135000.0;2.5;2.0;2.0;98.0;-37.8005;144.9952;4019.0
30;4;1542000.0;2.5;3.0;1.0;0.0;-37.7994;144.9965;4019.0
31;3;1290000.0;2.5;2.0;2.0;147.0;-37.805;144.9943;4019.0
32;3;1290000.0;2.5;1.0;1.0;168.0;-37.8007;144.9958;4019.0
33;1;470000.0;2.5;1.0;1.0;0.0;-37.8055;144.9961;4019.0
